ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Satisfaction Score,Churn Label,churn rate,active customers,churned customers,Revenue lost,Toal revenue lost,Tenure in groups,
43,Male,69,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,43.99,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,2,Yes,,,,98.5,2792697,0-12 Months,
44,Male,72,No,Yes,Yes,No,0,Q3,Yes,1,33,No Offer,Yes,27.78,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.5,3,Yes,,,,3118.5,2792599,25-48 Months,
45,Female,69,No,Yes,No,No,0,Q3,No,0,30,No Offer,Yes,45.88,Yes,Yes,Fiber Optic,19,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,91.7,1,Yes,,,,2751,2789480,25-48 Months,
46,Male,73,No,Yes,No,No,0,Q3,No,0,20,No Offer,Yes,44.44,Yes,Yes,Fiber Optic,13,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,98.55,3,Yes,,,,1971,2786729,13-24 Months,
47,Female,65,No,Yes,No,No,0,Q3,No,0,46,No Offer,Yes,2.37,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110,1,Yes,,,,5060,2784758,25-48 Months,
48,Male,74,No,Yes,Yes,No,0,Q3,Yes,1,7,No Offer,Yes,21.91,Yes,Yes,Cable,11,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.6,3,Yes,,,,669.2,2779698,0-12 Months,
49,Female,65,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,36.93,No,Yes,Fiber Optic,18,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.85,3,Yes,,,,315.4,2779029,0-12 Months,
50,Female,66,No,Yes,No,No,0,Q3,No,0,55,No Offer,Yes,37.38,Yes,Yes,Fiber Optic,7,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,100,3,Yes,,,,5500,2778714,49+ Months,
51,Male,71,No,Yes,Yes,No,0,Q3,Yes,1,20,No Offer,Yes,5.37,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.65,1,Yes,,,,1473,2773214,13-24 Months,
52,Male,65,No,Yes,No,No,0,Q3,No,0,9,No Offer,Yes,48.71,Yes,Yes,Fiber Optic,15,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.5,1,Yes,,,,904.5,2771741,0-12 Months,
53,Male,69,No,Yes,No,No,0,Q3,No,0,10,No Offer,Yes,5.46,No,Yes,Fiber Optic,24,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,72.85,1,Yes,,,,728.5,2770836,0-12 Months,
54,Male,75,No,Yes,Yes,No,0,Q3,No,0,1,No Offer,Yes,36.92,Yes,Yes,Fiber Optic,6,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.55,2,Yes,,,,73.55,2770108,0-12 Months,
55,Female,75,No,Yes,No,No,0,Q3,No,0,3,No Offer,Yes,41.9,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,1,Yes,,,,238.2,2770034,0-12 Months,
56,Female,68,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,6.68,Yes,Yes,Cable,17,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,1,Yes,,,,338.4,2769796,0-12 Months,
57,Male,71,No,Yes,No,No,0,Q3,No,0,35,No Offer,Yes,20.83,Yes,Yes,Fiber Optic,19,No,No,Yes,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,99.05,1,Yes,,,,3466.75,2769458,25-48 Months,
58,Male,80,No,Yes,No,No,0,Q3,No,0,2,Offer E,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,2,Yes,,,,89.9,2765991,0-12 Months,
59,Male,66,No,Yes,No,No,0,Q3,No,0,8,No Offer,Yes,11.57,No,Yes,Fiber Optic,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,100.3,1,Yes,,,,802.4,2765901,0-12 Months,
60,Male,73,No,Yes,Yes,No,0,Q3,Yes,2,44,No Offer,No,0,No,Yes,Cable,28,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,30.35,1,Yes,,,,1335.4,2765099,25-48 Months,
61,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,62,No Offer,Yes,7.11,Yes,Yes,Fiber Optic,16,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.75,1,Yes,,,,6432.5,2763763,49+ Months,
62,Female,76,No,Yes,Yes,No,0,Q3,Yes,1,33,No Offer,Yes,33.19,Yes,Yes,Cable,15,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.6,2,Yes,,,,2659.8,2757331,25-48 Months,
63,Female,65,No,Yes,No,No,0,Q3,No,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,2,Yes,,,,377.2,2754671,0-12 Months,
64,Male,75,No,Yes,Yes,No,0,Q3,Yes,1,27,No Offer,Yes,10.6,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.5,1,Yes,,,,2038.5,2754294,25-48 Months,
65,Male,75,No,Yes,No,No,0,Q3,No,0,8,Offer E,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,1,Yes,,,,804.8,2752255,0-12 Months,
66,Female,68,No,Yes,Yes,No,0,Q3,Yes,1,3,Offer E,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,1,Yes,,,,264.9,2751450,0-12 Months,
67,Female,71,No,Yes,No,No,0,Q3,No,0,8,Offer E,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,1,Yes,,,,736.8,2751185,0-12 Months,
68,Male,74,No,Yes,No,No,0,Q3,No,0,14,No Offer,Yes,11.31,No,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,90.45,3,Yes,,,,1266.3,2750449,13-24 Months,
69,Male,77,No,Yes,No,No,0,Q3,No,0,12,No Offer,No,0,No,Yes,DSL,10,No,No,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.65,1,Yes,,,,523.8,2749182,0-12 Months,
70,Female,73,No,Yes,No,No,0,Q3,No,0,13,No Offer,Yes,40.37,No,Yes,Fiber Optic,21,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,1,Yes,,,,965.9,2748659,13-24 Months,
71,Female,68,No,Yes,No,No,0,Q3,No,0,11,No Offer,Yes,3.96,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.7,2,Yes,,,,986.7,2747693,0-12 Months,
72,Male,74,No,Yes,Yes,No,0,Q3,Yes,1,17,No Offer,Yes,28.18,Yes,Yes,Cable,16,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,100.45,3,Yes,,,,1707.65,2746706,13-24 Months,
73,Male,65,No,Yes,Yes,No,0,Q3,Yes,1,39,No Offer,Yes,33.25,Yes,Yes,Fiber Optic,26,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.65,3,Yes,,,,4120.35,2744998,25-48 Months,
74,Female,73,No,Yes,Yes,No,0,Q3,Yes,5,11,No Offer,Yes,17.25,Yes,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.05,3,Yes,,,,1144.55,2740878,0-12 Months,
75,Female,74,No,Yes,Yes,No,0,Q3,Yes,1,3,Offer E,Yes,3.29,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,2,Yes,,,,241.2,2739733,0-12 Months,
76,Male,80,No,Yes,No,No,0,Q3,No,0,21,No Offer,Yes,34.62,No,Yes,DSL,14,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,60.05,1,Yes,,,,1261.05,2739492,13-24 Months,
77,Female,76,No,Yes,No,No,0,Q3,No,0,16,No Offer,Yes,38.75,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.15,2,Yes,,,,1538.4,2738231,13-24 Months,
78,Female,73,No,Yes,No,No,0,Q3,No,0,46,No Offer,Yes,6.13,No,Yes,Fiber Optic,30,No,Yes,No,No,Yes,Yes,No,Yes,One Year,No,Credit Card,95.25,2,Yes,,,,4381.5,2736693,25-48 Months,
79,Female,70,No,Yes,Yes,No,0,Q3,Yes,1,68,Offer A,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,1,Yes,,,,6092.8,2732311,49+ Months,
80,Male,75,No,Yes,Yes,No,0,Q3,Yes,1,7,Offer E,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,2,Yes,,,,626.5,2726218,0-12 Months,
81,Male,74,No,Yes,Yes,No,0,Q3,Yes,1,15,No Offer,Yes,45.25,Yes,Yes,Cable,22,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.6,1,Yes,,,,1284,2725592,13-24 Months,
82,Male,76,No,Yes,No,No,0,Q3,No,0,16,No Offer,Yes,19.18,Yes,Yes,Fiber Optic,22,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.6,3,Yes,,,,1385.6,2724308,13-24 Months,
83,Female,75,No,Yes,No,No,0,Q3,No,0,1,Offer E,Yes,29.68,No,Yes,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,2,Yes,,,,69.25,2722922,0-12 Months,
84,Female,74,No,Yes,No,No,0,Q3,No,0,1,No Offer,No,0,No,Yes,Cable,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.2,1,Yes,,,,25.2,2722853,0-12 Months,
85,Female,73,No,Yes,No,No,0,Q3,No,0,13,No Offer,Yes,19.03,Yes,Yes,Fiber Optic,24,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.05,1,Yes,,,,1235.65,2722828,13-24 Months,
86,Female,69,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,20.06,No,Yes,Fiber Optic,24,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.2,3,Yes,,,,79.2,2721592,0-12 Months,
87,Female,75,No,Yes,Yes,No,0,Q3,Yes,1,34,No Offer,Yes,2.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.25,1,Yes,,,,3204.5,2721513,25-48 Months,
88,Female,65,No,Yes,No,No,0,Q3,No,0,4,No Offer,Yes,12.68,No,Yes,Fiber Optic,10,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.8,1,Yes,,,,399.2,2718309,0-12 Months,
89,Female,77,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,19.27,Yes,Yes,Fiber Optic,18,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,3,Yes,,,,187.7,2717909,0-12 Months,
90,Male,67,No,Yes,No,No,0,Q3,No,0,9,No Offer,Yes,30.8,Yes,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,84.4,2,Yes,,,,759.6,2717722,0-12 Months,
91,Female,78,No,Yes,No,No,0,Q3,No,0,5,No Offer,Yes,42.33,No,Yes,Fiber Optic,9,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,1,Yes,,,,377.75,2716962,0-12 Months,
92,Male,65,No,Yes,No,No,0,Q3,No,0,22,Offer D,Yes,40.18,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,1,Yes,,,,2127.4,2716584,13-24 Months,
93,Male,74,No,Yes,No,No,0,Q3,No,0,19,Offer D,Yes,39.97,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1,Yes,,,,1675.8,2714457,13-24 Months,
94,Male,70,No,Yes,No,No,0,Q3,No,0,15,Offer D,Yes,46.38,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,3,Yes,,,,1134.75,2712781,13-24 Months,
95,Male,69,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,11.34,Yes,Yes,Fiber Optic,20,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,1,Yes,,,,74.7,2711646,0-12 Months,
96,Female,76,No,Yes,No,No,0,Q3,No,0,1,No Offer,No,0,No,Yes,DSL,26,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,25.8,1,Yes,,,,25.8,2711572,0-12 Months,
97,Male,71,No,Yes,No,No,0,Q3,No,0,10,Offer D,Yes,41.37,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,1,Yes,,,,953.5,2711546,0-12 Months,
98,Female,76,No,Yes,No,No,0,Q3,No,0,3,No Offer,Yes,30.14,No,Yes,DSL,6,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,45,3,Yes,,,,135,2710592,0-12 Months,
99,Male,77,No,Yes,Yes,No,0,Q3,Yes,1,12,Offer D,Yes,6.97,No,Yes,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,2,Yes,,,,965.4,2710457,0-12 Months,
100,Male,74,No,Yes,No,No,0,Q3,No,0,2,No Offer,Yes,6.51,No,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,2,Yes,,,,149.4,2709492,0-12 Months,
101,Male,77,No,Yes,No,No,0,Q3,No,0,1,No Offer,Yes,49.6,Yes,Yes,Fiber Optic,20,No,No,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,88.8,1,Yes,,,,88.8,2709343,0-12 Months,
102,Male,76,No,Yes,Yes,No,0,Q3,Yes,1,13,Offer D,Yes,1.47,No,Yes,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1,Yes,,,,1157.65,2709254,13-24 Months,
